"id","osm_id","name","highway","z_order","xy_start","xy_end","length","distance","speed","travel_time","daytime"
1,172260488,"Via Manara Valgimigli","tertiary",4,"43.7148018,10.4228048","43.7149967,10.4186284",98.545,1286,22,206,"day"
2,172260489,"Via Manara Valgimigli","tertiary",4,"43.7149967,10.4186284","43.7148018,10.4228048",231.876,338,14,85,"day"
3,172260488,"Via Manara Valgimigli","tertiary",4,"43.7149967,10.4186284","43.7148018,10.4228048",98.545,338,14,85,"day"
4,332517044,"Via Silvestro Centofanti","residential",3,"43.7189284,10.4122208","43.7200957,10.4118406",135.941,135,26,19,"day"
5,102841475,"Via Giuseppe Garibaldi","tertiary",4,"43.7183882,10.4185568","43.7155623,10.4126274",581.647,580,24,88,"day"
6,23652392,"Via Pietro Nenni","secondary",6,"43.7149728,10.4214977","43.7114958,10.4206545",392.253,393,21,68,"day"
7,23652392,"Via Pietro Nenni","secondary",6,"43.7110589,10.420667","43.7149592,10.4216014",439.854,435,17,91,"day"
8,5530581,"Via Vittorio Veneto","secondary",6,"43.7241501,10.4085276","43.7201804,10.4116774",534.985,532,19,100,"day"
9,22756394,"Largo Concetto Marchesi","residential",3,"43.7147767,10.4154706","43.7149967,10.4186284",255.747,1683,22,281,"day"
10,22998349,"Lungarno Bruno Buozzi","tertiary",4,"43.7139021,10.4085214","43.7129728,10.4094426",129.87,130,26,18,"day"
11,22879173,"Via Vincenzo Gioberti","residential",3,"43.7130444,10.4140899","43.7155623,10.4126274",313.045,315,24,47,"day"
12,182850701,"Via Lucchese","tertiary",4,"43.7248799,10.4086442","43.7256677,10.4040832",381.417,382,29,47,"day"
13,305150885,"Via Alessandro Volpi","secondary",6,"43.7194316,10.4203089","43.7205039,10.4215927",158.606,159,20,29,"day"
14,20184096,"Via Alessandro Volpi","secondary",6,"43.7189215,10.4201363","43.7191697,10.4198384",107.377,44,32,5,"day"
15,20184096,"Via Alessandro Volpi","secondary",6,"43.7206131,10.4216446","43.7205574,10.4217411",26.188,9,32,1,"day"
16,154695134,"Via Lucchese","tertiary",4,"43.7247228,10.4089552","43.7246694,10.408787",56.637,16,29,2,"day"
17,22331688,"Via Gino Luzzato","secondary",6,"43.7185349,10.4195966","43.7149728,10.4214977",468.418,469,18,96,"day"
18,22331688,"Via Gino Luzzato","secondary",6,"43.7149592,10.4216014","43.7189215,10.4201363",485.202,484,37,47,"day"
19,914150576,"Via Mahatma Gandhi","tertiary",4,"43.7233343,10.4156571","43.7246497,10.4160267",153.622,152,42,13,"day"
20,914150577,"Via Mahatma Gandhi","tertiary",4,"43.723137,10.4158263","43.7231428,10.4155164",50.514,24,29,3,"day"
21,5532527,"Largo San Zeno","secondary",6,"43.7241392,10.4074209","43.723718,10.4079327",62.845,67,17,14,"day"
22,5532527,"Largo San Zeno","secondary",6,"43.7238522,10.4081109","43.7243786,10.4083981",62.899,65,14,17,"day"
23,5532527,"Largo San Zeno","secondary",6,"43.72367,10.4081384","43.7237548,10.4081285",33.857,8,29,1,"day"
24,22756395,"Via Enrico Betti","residential",3,"43.71468606,10.4147375","43.7147767,10.4154706",59.941,61,12,18,"day"
25,53352069,"Via San Francesco","tertiary",4,"43.7187854,10.4104574","43.7185484,10.407387",248.841,250,18,49,"day"
26,5532529,"Largo San Zeno","secondary",6,"43.7237826,10.4080733","43.7238522,10.4081109",8.305,7,25,1,"day"
27,5532529,"Largo San Zeno","secondary",6,"43.7237453,10.4086219","43.7237364,10.4083325",24.938,23,21,4,"day"
28,19881666,"Via Edmondo De Amicis","tertiary",4,"43.7167983,10.4086851","43.7187854,10.4104574",264.892,266,23,41,"day"
