"id","osm_id","name","highway","z_order","xy_start","xy_end","lenght"
33,216688809,"Ponte della Fortezza","tertiary",24,"43.7131101,10.4078224","43.7139021,10.4085214",104.556
34,172260489,"Via Manara Valgimigli","tertiary",4,"43.7148018,10.4228048","43.7149967,10.4186284",231.876
35,7997357,"Via San Giovanni Bosco","tertiary",4,"43.7187854,10.4104574","43.7189213,10.4192172",736.227
36,153762364,"Via Angelo Battelli","residential",3,"43.7203783,10.4119035","43.7228517,10.413959",321.072
37,305150886,"Via Giuseppe Moruzzi","secondary",6,"43.719849,10.4232674","43.720509,10.42203",123.775
38,586894645,"Via Giuseppe Moruzzi","secondary",6,"43.7205632,10.4218318","43.7206196,10.4219079",32.811
39,306121758,"Via del Giardino","tertiary",4,"43.7165645,10.4074882","43.7167983,10.4086851",99.891
40,18504806,"Via Santa Marta","tertiary",4,"43.7147755,10.4089727","43.7139021,10.4085214",104.232
41,22998347,"Via Santa Marta","tertiary",4,"43.7147755,10.4089727","43.7167983,10.4086851",231.275
42,20182095,"Lungarno Mediceo","tertiary",4,"43.7162818,10.4021489","43.7139021,10.4085214",579.583
43,22756396,"Via Baldo degli Ubaldi","residential",3,"43.7142393,10.4148417","43.71468721,10.41473408",50.516
44,22754018,"Via Renato Falconcini","residential",3,"43.7128677,10.4148689","43.7137633,10.4148855",99.516
45,55804752,"Via Alberto Paparelli","secondary",6,"43.723107,10.4150306","43.7244612,10.4099984",432.512
46,22887248,"Via San Zeno","tertiary",4,"43.7227183,10.406856","43.7235612,10.4078944",125.653
47,302077653,"Via San Zeno","tertiary",4,"43.7236725,10.4079423","43.7236307,10.408072",29.216
48,18500684,"Largo Bruno Pontecorvo","tertiary",4,"43.7194857,10.4073934","43.719991,10.4073511",56.289
49,371008465,"Via Provinciale Calcesana","secondary",6,"43.7211904,10.4225777","43.7207631,10.4217716",80.794
50,371008465,"Via Provinciale Calcesana","secondary",6,"43.7211904,10.4225777","43.7207502,10.4218438",77.37
51,371008465,"Via Provinciale Calcesana","secondary",6,"43.7214824,10.4230627","43.7211904,10.4225777",50.889
52,5530575,"Via Alberto Paparelli","secondary",6,"43.7245741,10.409536","43.7246654,10.4096648",75.698
53,5530575,"Via Alberto Paparelli","secondary",6,"43.7230887,10.4154196","43.7228535,10.4153566",72.009
54,22733272,"Via del Brennero","primary",7,"43.7244051,10.4084819","43.7231936,10.4033686",433.496
55,22733272,"Via del Brennero","primary",7,"43.7247798,10.409756","43.7282595,10.4170385",712.303
56,5534755,"Via del Brennero","primary",7,"43.7245464,10.4087455","43.7244631,10.4088158",54.134
57,5534755,"Via del Brennero","primary",7,"43.7247213,10.4095372","43.7246715,10.409098",36.297
58,5534755,"Via del Brennero","primary",7,"43.7245348,10.4091379","43.7246654,10.4096648",53.523
59,5534755,"Via del Brennero","primary",7,"43.7246654,10.4096648","43.7247213,10.4095372",13.33
60,5534755,"Via del Brennero","primary",7,"43.7246654,10.4096648","43.7247213,10.4095372",33.681
61,586894648,"Via di Pratale","secondary",6,"43.7207559,10.4213933","43.7207928,10.4212975",8.741
62,20179148,"Via di Pratale","tertiary",3,"43.7224377,10.4154385","43.7241501,10.4085276",612.211
63,20179148,"Via di Pratale","secondary",3,"43.7227171,10.4155317","43.7224377,10.4154385",41.397
64,20179148,"Via di Pratale","tertiary",3,"43.7223211,10.4158478","43.7224377,10.4154385",35.436
65,20179148,"Via di Pratale","secondary",3,"43.7223211,10.4158478","43.7227235,10.4158145",51.934
66,20179148,"Via di Pratale","secondary",3,"43.7207928,10.4212975","43.7223211,10.4158478",470.947
67,20179148,"Via di Pratale","secondary",3,"43.7207273,10.4216654","43.7206263,10.4216372",46.652
68,25365523,"Via Pasquale Landi","residential",3,"43.7137633,10.4148855","43.7130799,10.4162781",138.311
69,18763216,"Via Giovanni Di Simone","tertiary",4,"43.7185484,10.407387","43.7165645,10.4074882",228.077
70,7997355,"Via Giuseppe Garibaldi","tertiary",4,"43.7155623,10.4126274","43.7147755,10.4089727",307.537
71,7997355,"Via Giuseppe Garibaldi","tertiary",4,"43.7188975,10.4192098","43.7185364,10.4195035",158.125
72,182850701,"Via Lucchese","tertiary",4,"43.7256677,10.4040832","43.7248799,10.4086442",381.417
73,22733272,"Via del Brennero","primary",7,"43.7282595,10.4170385","43.7247798,10.409756",712.303
74,22733272,"Via del Brennero","primary",7,"43.7231936,10.4033686","43.7244051,10.4084819",433.496
75,22887248,"Via San Zeno","tertiary",4,"43.7235612,10.4078944","43.7227183,10.406856",125.653
76,23041063,"Via Filippo Buonarroti","tertiary",4,"43.7227183,10.406856","43.719991,10.4073511",313.618
77,18500684,"Largo Bruno Pontecorvo","tertiary",4,"43.719991,10.4073511","43.7194857,10.4073934",56.289
78,23041063,"Via Filippo Buonarroti","tertiary",4,"43.7194857,10.4073934","43.7185484,10.407387",104.155
79,55804752,"Via Alberto Paparelli","secondary",6,"43.7244612,10.4099984","43.723107,10.4150306",432.512
80,914150576,"Via Mahatma Gandhi","secondary",4,"43.7246497,10.4160267","43.7233343,10.4156571",153.622
81,153762364,"Via Angelo Battelli","residential",3,"43.7228517,10.413959","43.7203783,10.4119035",321.072
82,305150886,"Via Giuseppe Moruzzi","secondary",6,"43.720509,10.42203","43.719849,10.4232674",123.775
83,305150885,"Via Alessandro Volpi","secondary",6,"43.7205039,10.4215927","43.7194316,10.4203089",158.606
84,102841475,"Via Giuseppe Garibaldi","tertiary",4,"43.7155623,10.4126274","43.7183882,10.4185568",581.647
85,216688809,"Ponte della Fortezza","tertiary",24,"43.7139021,10.4085214","43.7131101,10.4078224",104.556
86,18504806,"Via Santa Marta","tertiary",4,"43.7139021,10.4085214","43.7147755,10.4089727",104.232
87,25365523,"Via Pasquale Landi","residential",3,"43.7130799,10.4162781","43.7137633,10.4148855",138.311
88,22756395,"Via Enrico Betti","residential",3,"43.7147767,10.4154706","43.71468606,10.4147375",59.941
89,22756394,"Largo Concetto Marchesi","residential",3,"43.7149967,10.4186284","43.7147767,10.4154706",255.747
90,586028856,"Via Guido De Ruggiero","tertiary",4,"43.7135666,10.4279586","43.7148018,10.4228048",440.926
91,586894648,"Via di Pratale","secondary",6,"43.7207928,10.4212975","43.7207559,10.4213933",8.741
92,586028856,"Via Guido De Ruggiero","tertiary",4,"43.7148018,10.4228048","43.7135666,10.4279586",440.926
93,5532529,"Largo San Zeno","secondary",6,"43.7238522,10.4081109","43.7237826,10.4080733",8.305
94,5532529,"Largo San Zeno","secondary",6,"43.7237364,10.4083325","43.7237453,10.4086219",24.938
95,172260489,"Via Manara Valgimigli","tertiary",4,"43.7148018,10.4228048","43.7149967,10.4186284",98.545
96,172260489,"Via Manara Valgimigli","tertiary",4,"43.7149967,10.4186284","43.7148018,10.4228048",231.876
97,172260489,"Via Manara Valgimigli","tertiary",4,"43.7149967,10.4186284","43.7148018,10.4228048",98.545
